1.953282862E9,1.953282862E9,20.58,1.0
1.953282867E9,1.953282867E9,20.53,1.0
1.953283283E9,1.953283283E9,14.59,1.0
1.953283287E9,1.953283287E9,14.62,1.0
1.953283292E9,1.953283292E9,14.5,1.0
1.953284489E9,1.953284489E9,18.95,1.0
1.953284493E9,1.953284493E9,18.91,1.0
1.953284498E9,1.953284498E9,18.92,1.0
1.953285204E9,1.953285204E9,18.91,1.0
1.953285208E9,1.953285208E9,18.35,1.0
1.953285213E9,1.953285213E9,18.61,1.0
1.953288813E9,1.953288813E9,19.16,1.0
1.953292413E9,1.953292413E9,18.82,1.0
1.953296013E9,1.953296013E9,18.22,1.0
1.953299613E9,1.953299613E9,17.86,1.0
1.953302087E9,1.953302087E9,18.22,1.0
1.953302091E9,1.953302091E9,17.63,1.0
1.953302096E9,1.953302096E9,17.63,1.0
1.953305696E9,1.953305696E9,17.39,1.0
1.953309296E9,1.953309296E9,17.35,1.0
1.953312896E9,1.953312896E9,17.31,1.0
1.953316496E9,1.953316496E9,17.34,1.0
1.953320096E9,1.953320096E9,17.4,1.0
1.953323696E9,1.953323696E9,17.41,1.0
1.953327296E9,1.953327296E9,17.48,1.0
1.953330896E9,1.953330896E9,17.53,1.0
1.953334496E9,1.953334496E9,17.54,1.0
1.953338096E9,1.953338096E9,17.54,1.0
1.953341696E9,1.953341696E9,17.55,1.0
1.953345296E9,1.953345296E9,17.57,1.0
1.953348896E9,1.953348896E9,17.59,1.0
1.953352496E9,1.953352496E9,17.61,1.0
1.953356096E9,1.953356096E9,17.62,1.0
1.953359696E9,1.953359696E9,17.65,1.0
1.953363296E9,1.953363296E9,17.77,1.0
1.953366896E9,1.953366896E9,17.85,1.0
1.953370496E9,1.953370496E9,17.87,1.0
1.953374096E9,1.953374096E9,17.93,1.0
1.953377696E9,1.953377696E9,17.97,1.0
1.953381296E9,1.953381296E9,17.95,1.0
1.953384896E9,1.953384896E9,17.93,1.0
1.953388496E9,1.953388496E9,17.85,1.0
1.953392096E9,1.953392096E9,17.77,1.0
1.953395696E9,1.953395696E9,17.57,1.0
1.953399296E9,1.953399296E9,17.22,1.0
1.953402896E9,1.953402896E9,17.07,1.0
1.953406496E9,1.953406496E9,17.13,1.0
1.953410096E9,1.953410096E9,17.05,1.0
1.953413696E9,1.953413696E9,17.03,1.0
1.953417296E9,1.953417296E9,17.2,1.0
1.953420896E9,1.953420896E9,17.26,1.0
1.953424496E9,1.953424496E9,17.61,1.0
1.953428096E9,1.953428096E9,17.71,1.0
1.953431696E9,1.953431696E9,17.63,1.0
1.953435296E9,1.953435296E9,17.33,1.0
1.953438896E9,1.953438896E9,17.05,1.0
1.953442496E9,1.953442496E9,17.0,1.0
1.953446096E9,1.953446096E9,16.95,1.0
1.953449696E9,1.953449696E9,17.35,1.0
1.953453296E9,1.953453296E9,17.59,1.0
1.953456896E9,1.953456896E9,17.73,1.0
1.953460496E9,1.953460496E9,18.06,1.0
1.953464096E9,1.953464096E9,18.13,1.0
1.953467696E9,1.953467696E9,17.44,1.0
1.953471296E9,1.953471296E9,17.29,1.0
1.953474896E9,1.953474896E9,16.89,1.0
1.953478496E9,1.953478496E9,16.71,1.0
1.953482096E9,1.953482096E9,16.63,1.0
1.953485696E9,1.953485696E9,16.52,1.0
1.953489296E9,1.953489296E9,16.51,1.0
